Array Length,Selection,Merge
0,20,35
1,34,35
2,60,365
3,92,709
4,140,1045
5,194,1405
6,264,1757
7,340,2107
8,432,2449
9,530,2825
10,644,3193
11,764,3561
12,900,3921
13,1042,4287
14,1200,4645
15,1364,5004
16,1544,5355
17,1730,5747
18,1932,6101
19,2140,6485
20,2364,6861
21,2594,7245
22,2840,7782
23,3092,8158
24,3360,8526
25,3634,8908
26,3924,9282
27,4220,9656
28,4532,10022
29,4850,10397
30,5184,10925
31,5524,11292
32,5880,11651
33,6242,12069
34,6620,12423
35,7004,12793
36,7404,13155
37,7810,13555
38,8232,13947
39,8660,14339
40,9104,14723
41,9554,15123
42,10020,15515
43,10492,16068
44,10980,16452
45,11474,16683
46,11984,17067
47,12500,17451
48,13032,17827
49,13570,18225
50,14124,18559
51,14684,18949
52,15260,19331
53,15842,19721
54,16440,20264
55,17044,20646
56,17664,21020
57,18290,21572
58,18932,21794
59,19580,22338
60,20244,22713
61,20914,23093
62,21600,23465
63,22292,23840
64,23000,24207
65,23714,24649
66,24444,25027
67,25180,25397
68,25932,25759
69,26690,25987
70,27464,26365
71,28244,26743
72,29040,27113
73,29842,27690
74,30660,27937
75,31484,28506
76,32324,28745
77,33170,29153
78,34032,29711
79,34900,30111
80,35784,30503
81,36674,30919
82,37580,31271
83,38492,31679
84,39420,32079
85,40354,32648
86,41304,33048
87,42260,33448
88,43232,33840
89,44210,34248
90,45204,34487
91,46204,35048
92,47220,35279
93,48242,35679
94,49280,36071
95,50324,36463
96,51384,36847
97,52450,37261
98,53532,37611
99,54620,37961
100,55724,38303
