Array Length,Selection,Merge
0,20,35
1,34,35
2,60,361
3,90,709
4,138,1036
5,200,1400
6,280,1737
7,354,2104
8,454,2464
9,568,2819
10,684,3207
11,802,3594
12,950,3932
13,1112,4301
14,1278,4854
15,1456,5210
16,1642,5583
17,1852,5943
18,2064,6359
19,2292,6723
20,2542,7133
21,2758,7367
22,3058,7916
23,3312,8254
24,3582,8689
25,3916,8978
26,4212,9389
27,4528,9947
28,4860,10315
29,5240,10774
30,5534,11269
31,5938,11688
32,6310,12035
33,6710,12484
34,7116,12847
35,7538,13271
36,7962,13653
37,8410,14099
38,8846,14463
39,9336,14880
40,9800,15268
41,10326,15649
42,10808,15880
43,11304,16491
44,11828,16950
45,12350,17097
46,12936,17541
47,13440,17907
48,14056,18271
49,14634,18671
50,15242,19188
51,15888,19541
52,16448,19938
53,17126,20537
54,17774,21059
55,18392,21447
56,19052,21913
57,19776,22400
58,20460,22672
59,21128,23245
60,21898,23648
61,22568,23921
62,23300,24434
63,24068,24824
64,24890,25224
65,25628,25703
66,26386,26123
67,27216,26438
68,28098,26953
69,28880,27228
70,29704,27529
71,30450,28019
72,31408,28435
73,32218,28864
74,33158,29353
75,34008,29788
76,34890,30021
77,35862,30528
78,36820,31064
79,37790,31529
80,38714,31815
81,39654,32289
82,40652,32706
83,41650,33214
84,42598,33421
85,43598,33999
86,44738,34404
87,45738,34899
88,46794,35275
89,47796,35665
90,48930,35863
91,50038,36527
92,51112,36733
93,52270,37126
94,53370,37568
95,54500,38005
96,55690,38440
97,56798,38926
98,58072,39221
99,59168,39596
100,60340,40114
