Array Length,Selection,Merge
0,20,35
1,34,35
2,60,361
3,94,697
4,144,1032
5,200,1408
6,272,1747
7,360,2112
8,452,2460
9,560,2838
10,680,3192
11,814,3574
12,950,3937
13,1112,4321
14,1280,4835
15,1466,5200
16,1662,5601
17,1848,5975
18,2074,6348
19,2290,6744
20,2544,7112
21,2780,7511
22,3048,7998
23,3312,8439
24,3594,8829
25,3910,9166
26,4230,9542
27,4548,10138
28,4876,10473
29,5234,10930
30,5562,11284
31,5938,11682
32,6330,12036
33,6702,12456
34,7110,12842
35,7528,13281
36,7984,13711
37,8396,14049
38,8856,14483
39,9312,14869
40,9798,15324
41,10274,15868
42,10808,16120
43,11330,16613
44,11828,17025
45,12394,17292
46,12938,17658
47,13474,18087
48,14054,18398
49,14640,18838
50,15258,19292
51,15806,19660
52,16488,20062
53,17094,20604
54,17774,21165
55,18426,21662
56,19028,22048
57,19772,22593
58,20478,22789
59,21126,23355
60,21882,23666
61,22602,24044
62,23376,24465
63,24100,24767
64,24876,25198
65,25690,25647
66,26406,26111
67,27154,26490
68,28040,27013
69,28834,27160
70,29706,27606
71,30500,28098
72,31368,28461
73,32292,29035
74,33096,29333
75,34074,29906
76,34972,30036
77,35814,30522
78,36748,31160
79,37712,31526
80,38740,31917
81,39704,32515
82,40676,32886
83,41600,33231
84,42678,33550
85,43626,34110
86,44702,34612
87,45706,34963
88,46734,35457
89,47848,35849
90,48894,36077
91,50066,36699
92,51158,36856
93,52250,37393
94,53408,37690
95,54486,38157
96,55602,38593
97,56792,38978
98,58010,39365
99,59182,39792
100,60368,40174
