Array Length,Selection,Merge
0,20,35
1,34,35
2,60,361
3,98,697
4,148,1040
5,200,1412
6,268,1755
7,358,2116
8,448,2476
9,566,2824
10,692,3207
11,820,3564
12,958,3933
13,1112,4306
14,1278,4815
15,1460,5217
16,1650,5587
17,1864,5968
18,2060,6302
19,2292,6737
20,2530,7097
21,2786,7344
22,3040,7832
23,3312,8250
24,3590,8666
25,3900,9073
26,4214,9369
27,4538,9985
28,4856,10354
29,5224,10722
30,5578,11276
31,5960,11696
32,6324,12082
33,6718,12486
34,7138,12890
35,7550,13252
36,7980,13686
37,8406,14096
38,8852,14444
39,9320,14857
40,9810,15305
41,10304,15660
42,10810,15964
43,11306,16504
44,11812,16924
45,12370,17075
46,12910,17505
47,13516,17986
48,14076,18319
49,14606,18749
50,15242,19186
51,15858,19517
52,16474,19927
53,17112,20450
54,17744,21052
55,18334,21520
56,19094,21845
57,19786,22478
58,20446,22662
59,21110,23183
60,21846,23595
61,22640,24008
62,23314,24481
63,24090,24852
64,24864,25220
65,25594,25692
66,26402,26097
67,27230,26461
68,28028,26884
69,28844,27216
70,29680,27660
71,30566,27920
72,31368,28445
73,32294,28919
74,33162,29350
75,34060,29848
76,34964,30084
77,35912,30543
78,36712,31094
79,37744,31449
80,38698,31913
81,39626,32387
82,40630,32813
83,41666,33237
84,42648,33418
85,43640,34039
86,44706,34449
87,45688,34838
88,46822,35256
89,47842,35605
90,48924,35891
91,50032,36515
92,51068,36740
93,52254,37175
94,53352,37531
95,54530,38081
96,55652,38421
97,56754,38878
98,57950,39271
99,59120,39735
100,60398,39998
