Array Length,Selection,Merge
0,20,35
1,34,35
2,56,361
3,92,701
4,148,1044
5,204,1400
6,276,1740
7,366,2105
8,452,2472
9,558,2836
10,678,3192
11,810,3586
12,952,3940
13,1114,4327
14,1268,4830
15,1464,5204
16,1638,5583
17,1846,5975
18,2062,6358
19,2288,6747
20,2550,7139
21,2792,7353
22,3048,7862
23,3312,8259
24,3612,8663
25,3902,9098
26,4226,9443
27,4522,9875
28,4858,10356
29,5190,10756
30,5566,11276
31,5954,11668
32,6310,12094
33,6714,12481
34,7142,12839
35,7544,13313
36,7962,13719
37,8400,14076
38,8858,14503
39,9346,14909
40,9828,15336
41,10316,15751
42,10808,15926
43,11348,16453
44,11830,16884
45,12378,17120
46,12930,17404
47,13504,17974
48,14062,18288
49,14648,18746
50,15238,19029
51,15846,19489
52,16492,19937
53,17080,20532
54,17748,21050
55,18436,21469
56,19084,21855
57,19772,22449
58,20442,22685
59,21098,23195
60,21890,23658
61,22618,24052
62,23324,24378
63,24106,24768
64,24902,25239
65,25616,25664
66,26436,26070
67,27234,26550
68,28038,26948
69,28844,27151
70,29696,27582
71,30568,28102
72,31426,28478
73,32252,28992
74,33166,29343
75,34062,29830
76,34946,30089
77,35868,30448
78,36836,31134
79,37792,31526
80,38638,31848
81,39712,32342
82,40628,32746
83,41668,33194
84,42636,33393
85,43696,33996
86,44688,34352
87,45724,34820
88,46700,35231
89,47856,35679
90,48890,35988
91,50004,36529
92,51128,36692
93,52180,37153
94,53446,37520
95,54490,38001
96,55710,38374
97,56762,38873
98,57972,39229
99,59188,39704
100,60388,40113
