Array Length,Selection,Merge
0,20,35
1,34,35
2,60,361
3,94,697
4,146,1045
5,208,1388
6,272,1743
7,354,2100
8,458,2468
9,556,2832
10,668,3177
11,804,3583
12,958,3972
13,1122,4313
14,1274,4805
15,1458,5217
16,1646,5588
17,1838,5973
18,2060,6366
19,2286,6719
20,2510,7051
21,2784,7298
22,3054,7885
23,3316,8240
24,3592,8680
25,3908,9004
26,4214,9395
27,4530,9992
28,4856,10323
29,5208,10772
30,5560,11320
31,5916,11690
32,6306,12048
33,6728,12446
34,7122,12928
35,7532,13251
36,7976,13649
37,8432,14053
38,8872,14438
39,9338,14897
40,9812,15302
41,10288,15722
42,10780,15942
43,11334,16486
44,11822,16890
45,12354,17106
46,12930,17552
47,13506,17912
48,14014,18344
49,14626,18750
50,15206,19187
51,15844,19527
52,16454,19887
53,17106,20436
54,17736,21042
55,18340,21506
56,19040,21924
57,19758,22473
58,20426,22671
59,21154,23215
60,21868,23605
61,22602,23997
62,23364,24430
63,24124,24802
64,24866,25253
65,25614,25640
66,26482,26068
67,27180,26456
68,28040,26892
69,28880,27139
70,29680,27607
71,30522,27992
72,31402,28506
73,32276,28972
74,33168,29312
75,34016,29822
76,34958,30061
77,35870,30468
78,36878,31099
79,37744,31434
80,38782,31935
81,39678,32350
82,40610,32776
83,41634,33194
84,42658,33440
85,43670,33978
86,44700,34416
87,45754,34906
88,46748,35281
89,47838,35699
90,48976,35951
91,49904,36526
92,51134,36822
93,52260,37216
94,53468,37591
95,54492,37969
96,55652,38325
97,56754,38827
98,57954,39162
99,59088,39589
100,60338,40111
