Array Length,Selection,Merge
0,20,35
1,34,35
2,56,361
3,94,701
4,146,1036
5,208,1404
6,272,1756
7,356,2108
8,462,2465
9,564,2829
10,694,3216
11,808,3558
12,948,3918
13,1108,4309
14,1284,4814
15,1470,5217
16,1642,5562
17,1858,5949
18,2062,6334
19,2282,6737
20,2548,7112
21,2784,7469
22,3038,7999
23,3320,8429
24,3614,8803
25,3908,9177
26,4236,9527
27,4550,10088
28,4856,10524
29,5200,10916
30,5568,11331
31,5926,11714
32,6326,12006
33,6726,12424
34,7112,12904
35,7532,13281
36,8008,13675
37,8414,14094
38,8852,14488
39,9292,14901
40,9810,15198
41,10302,15886
42,10790,16111
43,11320,16669
44,11798,17073
45,12366,17313
46,12932,17692
47,13512,18054
48,14024,18473
49,14616,18895
50,15230,19293
51,15838,19697
52,16474,20059
53,17088,20614
54,17750,21180
55,18384,21543
56,19066,22040
57,19742,22588
58,20418,22812
59,21160,23410
60,21860,23668
61,22594,24031
62,23290,24378
63,24088,24828
64,24836,25208
65,25584,25687
66,26382,26081
67,27258,26480
68,28018,26965
69,28826,27172
70,29666,27614
71,30582,28002
72,31398,28447
73,32278,28990
74,33178,29325
75,34058,29873
76,34944,30059
77,35834,30480
78,36842,31057
79,37810,31381
80,38710,31964
81,39718,32496
82,40638,32931
83,41660,33307
84,42706,33593
85,43672,34204
86,44704,34613
87,45674,34957
88,46820,35407
89,47790,35886
90,48956,36012
91,50012,36688
92,51064,36883
93,52244,37346
94,53354,37825
95,54460,38153
96,55512,38610
97,56888,38989
98,57964,39326
99,59136,39763
100,60350,40220
