Array Length,Selection,Merge
0,20,35
1,34,35
2,56,365
3,94,709
4,142,1044
5,202,1408
6,276,1751
7,360,2112
8,454,2457
9,560,2836
10,682,3200
11,818,3570
12,952,3936
13,1124,4321
14,1286,4832
15,1460,5211
16,1644,5561
17,1856,5968
18,2068,6351
19,2296,6705
20,2540,7062
21,2790,7338
22,3044,7898
23,3340,8274
24,3584,8649
25,3892,9017
26,4218,9461
27,4544,9983
28,4862,10406
29,5198,10751
30,5582,11319
31,5968,11650
32,6328,12082
33,6736,12454
34,7122,12873
35,7554,13304
36,7966,13679
37,8406,14052
38,8882,14459
39,9344,14869
40,9782,15288
41,10298,15679
42,10810,15913
43,11320,16466
44,11822,16871
45,12370,17115
46,12940,17498
47,13474,17897
48,14048,18281
49,14646,18730
50,15244,19121
51,15870,19534
52,16472,19939
53,17102,20503
54,17802,21036
55,18386,21495
56,19104,21834
57,19714,22398
58,20450,22682
59,21118,23216
60,21890,23653
61,22596,23982
62,23340,24394
63,24074,24804
64,24882,25205
65,25628,25661
66,26420,26108
67,27244,26498
68,28032,26948
69,28852,27214
70,29734,27632
71,30476,27967
72,31392,28517
73,32296,28982
74,33082,29325
75,33996,29826
76,34940,30098
77,35914,30560
78,36792,31132
79,37754,31488
80,38664,31968
81,39762,32304
82,40638,32667
83,41730,33166
84,42636,33394
85,43652,33897
86,44680,34390
87,45786,34765
88,46770,35274
89,47860,35687
90,48896,35957
91,50036,36503
92,51146,36751
93,52184,37095
94,53316,37580
95,54432,37963
96,55666,38542
97,56880,38919
98,58036,39240
99,59216,39668
100,60312,40106
