Array Length,Selection,Merge
0,20,35
1,34,35
2,60,365
3,92,701
4,148,1044
5,198,1404
6,272,1763
7,360,2100
8,454,2476
9,556,2824
10,678,3216
11,812,3546
12,962,3928
13,1106,4295
14,1278,4849
15,1450,5200
16,1648,5608
17,1846,5950
18,2064,6368
19,2302,6717
20,2530,7160
21,2788,7305
22,3040,7844
23,3326,8245
24,3586,8677
25,3900,9041
26,4232,9453
27,4534,9951
28,4864,10352
29,5224,10753
30,5578,11298
31,5930,11703
32,6330,12117
33,6698,12464
34,7146,12897
35,7552,13312
36,7966,13654
37,8426,14062
38,8850,14475
39,9342,14903
40,9810,15261
41,10318,15669
42,10808,15934
43,11328,16410
44,11842,16876
45,12360,17102
46,12934,17538
47,13482,17965
48,14094,18295
49,14630,18760
50,15230,19101
51,15844,19518
52,16448,19942
53,17096,20444
54,17778,21089
55,18420,21467
56,19078,21862
57,19712,22450
58,20434,22664
59,21148,23245
60,21876,23684
61,22572,24066
62,23356,24441
63,24102,24820
64,24878,25224
65,25666,25669
66,26436,26131
67,27272,26441
68,28026,26890
69,28786,27252
70,29698,27525
71,30514,28065
72,31406,28403
73,32336,29001
74,33168,29233
75,34028,29788
76,34968,30058
77,35836,30546
78,36802,31124
79,37788,31479
80,38728,31981
81,39710,32361
82,40686,32725
83,41640,33131
84,42634,33391
85,43656,33971
86,44736,34403
87,45726,34891
88,46808,35276
89,47878,35705
90,48898,35865
91,50014,36476
92,51162,36759
93,52224,37221
94,53298,37644
95,54470,37980
96,55676,38450
97,56660,38757
98,57968,39248
99,59150,39630
100,60218,40038
