Array Length,Selection,Merge
0,20,35
1,34,35
2,60,361
3,90,705
4,144,1040
5,202,1392
6,272,1739
7,362,2100
8,466,2456
9,564,2816
10,690,3184
11,814,3566
12,952,3933
13,1112,4329
14,1272,4843
15,1456,5195
16,1642,5579
17,1854,5987
18,2078,6319
19,2298,6733
20,2534,7116
21,2790,7287
22,3042,7898
23,3324,8226
24,3602,8683
25,3882,9019
26,4216,9398
27,4538,9986
28,4854,10384
29,5208,10766
30,5590,11329
31,5954,11673
32,6300,12063
33,6704,12464
34,7136,12881
35,7548,13266
36,7968,13635
37,8376,14128
38,8884,14517
39,9306,14854
40,9810,15350
41,10306,15671
42,10814,15918
43,11332,16498
44,11848,16880
45,12376,17153
46,12918,17488
47,13476,17901
48,14056,18333
49,14642,18751
50,15250,19194
51,15846,19555
52,16486,19937
53,17088,20495
54,17724,21015
55,18424,21443
56,19052,21929
57,19754,22383
58,20460,22684
59,21132,23194
60,21822,23676
61,22610,24039
62,23338,24388
63,24100,24822
64,24904,25245
65,25622,25615
66,26356,26112
67,27242,26545
68,28006,26956
69,28800,27196
70,29708,27634
71,30502,28001
72,31404,28483
73,32308,28998
74,33126,29324
75,34064,29890
76,34942,30064
77,35910,30548
78,36752,31151
79,37712,31580
80,38726,31861
81,39696,32349
82,40650,32763
83,41654,33202
84,42648,33439
85,43716,33983
86,44678,34330
87,45710,34831
88,46752,35163
89,47936,35622
90,48934,35849
91,50028,36474
92,51104,36779
93,52232,37141
94,53350,37586
95,54486,37906
96,55686,38439
97,56772,38825
98,58006,39170
99,59196,39646
100,60300,40113
