Array Length,Selection,Merge
0,20,35
1,34,35
2,56,361
3,90,709
4,140,1040
5,202,1404
6,274,1759
7,354,2113
8,448,2453
9,560,2824
10,676,3208
11,810,3566
12,962,3952
13,1112,4261
14,1288,4834
15,1458,5219
16,1648,5573
17,1832,5984
18,2072,6371
19,2298,6750
20,2528,7127
21,2778,7306
22,3028,7848
23,3312,8287
24,3592,8634
25,3910,9068
26,4210,9444
27,4524,9967
28,4872,10337
29,5222,10790
30,5572,11259
31,5938,11688
32,6320,12096
33,6718,12471
34,7128,12882
35,7528,13269
36,7988,13672
37,8404,14103
38,8866,14501
39,9356,14869
40,9820,15260
41,10296,15717
42,10816,15908
43,11320,16442
44,11846,16897
45,12366,17111
46,12906,17579
47,13472,17881
48,14066,18333
49,14600,18747
50,15218,19140
51,15846,19549
52,16484,19896
53,17082,20537
54,17732,20992
55,18402,21461
56,19074,21846
57,19766,22362
58,20398,22710
59,21150,23268
60,21838,23628
61,22596,23958
62,23332,24428
63,24076,24826
64,24872,25232
65,25662,25643
66,26370,26090
67,27254,26453
68,28020,26926
69,28826,27153
70,29718,27619
71,30550,27984
72,31348,28463
73,32298,29057
74,33202,29255
75,34096,29851
76,34946,30092
77,35866,30492
78,36790,31141
79,37754,31535
80,38682,31868
81,39734,32335
82,40616,32737
83,41604,33128
84,42566,33531
85,43690,34028
86,44636,34473
87,45746,34954
88,46790,35150
89,47804,35593
90,48930,35931
91,50054,36485
92,51084,36702
93,52252,37110
94,53320,37501
95,54486,38042
96,55662,38499
97,56844,38816
98,57946,39285
99,59152,39657
100,60366,40122
