Array Length,Selection,Merge
0,20,35
1,34,35
2,56,365
3,98,709
4,136,1044
5,204,1412
6,284,1743
7,356,2124
8,458,2440
9,556,2828
10,686,3211
11,818,3554
12,958,3940
13,1100,4310
14,1276,4856
15,1458,5225
16,1640,5580
17,1836,5964
18,2064,6367
19,2300,6721
20,2534,7147
21,2782,7302
22,3040,7876
23,3322,8227
24,3622,8607
25,3884,9054
26,4234,9428
27,4530,9911
28,4872,10352
29,5226,10775
30,5566,11303
31,5950,11680
32,6318,12084
33,6740,12472
34,7102,12906
35,7536,13336
36,7966,13728
37,8386,14081
38,8876,14499
39,9340,14885
40,9818,15336
41,10294,15713
42,10792,15964
43,11280,16468
44,11846,16883
45,12408,17140
46,12914,17532
47,13480,17965
48,14092,18309
49,14696,18694
50,15270,19138
51,15860,19480
52,16464,19897
53,17092,20441
54,17740,20984
55,18394,21470
56,19078,21904
57,19724,22430
58,20460,22703
59,21174,23271
60,21820,23615
61,22606,23983
62,23374,24370
63,24110,24812
64,24838,25254
65,25600,25662
66,26440,26044
67,27218,26516
68,28032,26879
69,28860,27188
70,29680,27624
71,30582,27955
72,31412,28480
73,32288,29034
74,33172,29316
75,34084,29886
76,34942,30050
77,35858,30519
78,36824,31072
79,37738,31548
80,38732,31923
81,39694,32308
82,40614,32729
83,41652,33155
84,42674,33467
85,43708,33937
86,44672,34427
87,45712,34834
88,46822,35219
89,47844,35603
90,48866,35924
91,50018,36558
92,51130,36671
93,52128,37205
94,53368,37586
95,54484,38039
96,55690,38420
97,56780,38777
98,57912,39230
99,59192,39688
100,60380,40083
