Array Length,Selection,Merge
0,20,35
1,34,35
2,60,361
3,98,709
4,144,1052
5,204,1408
6,274,1748
7,360,2105
8,450,2472
9,570,2832
10,684,3211
11,818,3568
12,958,3902
13,1120,4293
14,1280,4838
15,1470,5216
16,1634,5568
17,1850,5961
18,2064,6339
19,2302,6722
20,2542,7099
21,2774,7475
22,3068,8070
23,3296,8418
24,3608,8849
25,3888,9197
26,4220,9607
27,4542,10140
28,4870,10558
29,5198,10904
30,5570,11276
31,5934,11699
32,6312,12094
33,6730,12527
34,7118,12871
35,7550,13262
36,7972,13605
37,8410,14066
38,8874,14512
39,9342,14837
40,9808,15297
41,10304,15813
42,10798,16075
43,11282,16651
44,11828,17003
45,12390,17304
46,12926,17716
47,13482,18041
48,14090,18455
49,14632,18828
50,15232,19254
51,15858,19647
52,16440,19967
53,17084,20644
54,17768,21195
55,18380,21615
56,19030,22027
57,19792,22569
58,20444,22839
59,21186,23462
60,21868,23599
61,22560,24015
62,23360,24441
63,24116,24841
64,24838,25285
65,25586,25693
66,26446,26075
67,27148,26528
68,28022,26965
69,28834,27074
70,29716,27527
71,30538,28057
72,31408,28377
73,32262,29070
74,33140,29311
75,34046,29803
76,34986,30082
77,35932,30500
78,36828,31031
79,37782,31503
80,38716,31845
81,39736,32480
82,40700,32854
83,41644,33244
84,42632,33615
85,43674,34169
86,44648,34601
87,45792,34970
88,46782,35344
89,47802,35763
90,48904,36067
91,50076,36625
92,51064,36880
93,52220,37267
94,53398,37734
95,54530,38202
96,55608,38601
97,56836,38978
98,57952,39371
99,59092,39830
100,60316,40226
