Array Length,Selection,Merge
0,20,35
1,34,35
2,56,365
3,94,705
4,146,1048
5,200,1388
6,270,1759
7,354,2104
8,460,2472
9,556,2820
10,682,3193
11,812,3567
12,948,3928
13,1110,4329
14,1282,4819
15,1464,5204
16,1654,5599
17,1848,5987
18,2058,6369
19,2286,6711
20,2530,7124
21,2764,7326
22,3048,7912
23,3326,8269
24,3618,8640
25,3896,8995
26,4206,9423
27,4544,10020
28,4878,10388
29,5210,10738
30,5586,11299
31,5954,11687
32,6298,12037
33,6708,12431
34,7124,12881
35,7554,13329
36,7974,13676
37,8424,14094
38,8844,14516
39,9342,14831
40,9804,15306
41,10290,15645
42,10816,15919
43,11342,16445
44,11850,16880
45,12408,17136
46,12928,17525
47,13504,17884
48,14094,18365
49,14632,18757
50,15238,19093
51,15884,19552
52,16456,19836
53,17054,20476
54,17772,20967
55,18388,21386
56,19086,21814
57,19798,22444
58,20484,22672
59,21178,23242
60,21814,23638
61,22584,23969
62,23368,24395
63,24076,24817
64,24772,25193
65,25616,25654
66,26460,26088
67,27162,26530
68,28030,26879
69,28848,27221
70,29686,27626
71,30540,28014
72,31416,28410
73,32278,29011
74,33148,29348
75,34036,29750
76,34952,30152
77,35852,30487
78,36882,31112
79,37800,31581
80,38736,31870
81,39680,32354
82,40632,32693
83,41662,33162
84,42656,33465
85,43634,33976
86,44708,34378
87,45726,34678
88,46806,35303
89,47776,35777
90,48936,35922
91,49850,36524
92,51146,36717
93,52252,37187
94,53304,37658
95,54450,37975
96,55606,38452
97,56854,38799
98,57990,39285
99,59098,39670
100,60254,40066
