Array Length,Selection,Merge
0,20,35
1,34,35
2,56,361
3,98,705
4,148,1040
5,202,1393
6,276,1755
7,356,2112
8,450,2465
9,568,2829
10,684,3199
11,818,3559
12,950,3916
13,1110,4327
14,1286,4823
15,1466,5227
16,1646,5586
17,1856,5981
18,2056,6385
19,2294,6709
20,2526,7151
21,2790,7471
22,3036,8070
23,3330,8411
24,3606,8796
25,3904,9197
26,4226,9594
27,4538,10102
28,4872,10542
29,5206,10858
30,5566,11245
31,5902,11696
32,6330,12044
33,6710,12512
34,7106,12880
35,7538,13257
36,7966,13710
37,8416,14096
38,8874,14478
39,9348,14893
40,9806,15323
41,10270,15881
42,10786,16043
43,11308,16580
44,11826,17095
45,12366,17283
46,12874,17701
47,13468,18140
48,14074,18469
49,14630,18922
50,15256,19228
51,15840,19686
52,16464,20106
53,17084,20680
54,17780,21180
55,18406,21635
56,19096,22026
57,19804,22548
58,20468,22837
59,21136,23367
60,21898,23628
61,22642,24013
62,23358,24446
63,24114,24796
64,24876,25236
65,25584,25609
66,26420,26086
67,27190,26529
68,28018,26974
69,28896,27219
70,29696,27617
71,30530,27961
72,31370,28428
73,32286,29008
74,33124,29303
75,34070,29820
76,34986,30136
77,35898,30573
78,36764,31148
79,37794,31508
80,38708,31889
81,39670,32474
82,40640,32911
83,41582,33332
84,42654,33589
85,43698,34184
86,44732,34621
87,45746,34952
88,46772,35363
89,47840,35879
90,48964,36029
91,49968,36703
92,51126,36974
93,52246,37363
94,53336,37782
95,54450,38087
96,55638,38591
97,56706,38970
98,57956,39372
99,59166,39770
100,60210,40261
