Array Length,Selection,Merge
0,20,35
1,34,35
2,60,365
3,94,693
4,144,1048
5,210,1388
6,282,1751
7,364,2108
8,460,2454
9,568,2817
10,678,3183
11,794,3541
12,956,3953
13,1118,4293
14,1280,4851
15,1456,5217
16,1642,5551
17,1858,5972
18,2058,6346
19,2286,6731
20,2518,7136
21,2780,7482
22,3044,8062
23,3310,8473
24,3608,8796
25,3914,9196
26,4208,9568
27,4540,10119
28,4866,10532
29,5226,10922
30,5576,11297
31,5960,11714
32,6322,12084
33,6730,12438
34,7114,12869
35,7552,13241
36,7970,13644
37,8424,14114
38,8856,14515
39,9322,14918
40,9814,15243
41,10304,15857
42,10782,16099
43,11322,16677
44,11842,17022
45,12392,17304
46,12910,17697
47,13502,18086
48,14024,18448
49,14642,18860
50,15170,19310
51,15850,19676
52,16492,20129
53,17038,20596
54,17756,21238
55,18368,21616
56,19060,22053
57,19750,22566
58,20458,22801
59,21170,23321
60,21862,23675
61,22574,23973
62,23312,24462
63,24052,24795
64,24858,25256
65,25638,25658
66,26442,26102
67,27266,26474
68,28062,26889
69,28838,27219
70,29734,27581
71,30582,27990
72,31412,28376
73,32234,29068
74,33138,29374
75,34078,29800
76,34960,30084
77,35860,30555
78,36784,30996
79,37744,31513
80,38748,31817
81,39650,32449
82,40676,32893
83,41650,33243
84,42696,33541
85,43636,34161
86,44706,34593
87,45794,34965
88,46794,35395
89,47882,35824
90,48944,36000
91,50010,36662
92,50988,36909
93,52278,37371
94,53390,37722
95,54480,38111
96,55664,38581
97,56780,38945
98,57964,39432
99,59122,39795
100,60358,40259
