Array Length,Selection,Merge
0,20,35
1,34,35
2,60,365
3,92,701
4,142,1044
5,210,1380
6,280,1743
7,354,2112
8,454,2472
9,562,2813
10,684,3179
11,810,3583
12,956,3908
13,1106,4297
14,1278,4834
15,1462,5232
16,1658,5599
17,1852,5951
18,2064,6370
19,2286,6727
20,2530,7111
21,2780,7353
22,3060,7880
23,3298,8300
24,3570,8663
25,3914,9018
26,4218,9418
27,4542,9969
28,4886,10358
29,5208,10738
30,5592,11303
31,5960,11690
32,6338,12081
33,6714,12482
34,7136,12888
35,7548,13282
36,7982,13685
37,8426,14084
38,8880,14463
39,9342,14834
40,9816,15276
41,10286,15674
42,10796,15924
43,11280,16461
44,11808,16888
45,12368,17118
46,12928,17531
47,13474,17926
48,14074,18303
49,14672,18737
50,15264,19103
51,15844,19564
52,16474,19927
53,17096,20385
54,17710,21039
55,18364,21413
56,19072,21900
57,19748,22346
58,20460,22692
59,21174,23180
60,21876,23649
61,22590,24048
62,23336,24454
63,24070,24834
64,24820,25212
65,25604,25648
66,26420,26111
67,27234,26531
68,28040,26915
69,28824,27158
70,29672,27565
71,30550,27985
72,31406,28456
73,32220,29078
74,33174,29351
75,34034,29780
76,34926,30198
77,35828,30421
78,36760,31071
79,37742,31538
80,38688,31982
81,39738,32360
82,40624,32692
83,41666,33137
84,42614,33328
85,43696,34003
86,44726,34437
87,45712,34839
88,46834,35285
89,47916,35544
90,48944,35931
91,49916,36512
92,51156,36757
93,52298,37233
94,53382,37602
95,54516,37941
96,55622,38349
97,56798,38930
98,57920,39247
99,59170,39576
100,60382,40086
