Array Length,Selection,Merge
0,20,35
1,34,35
2,56,365
3,98,701
4,146,1048
5,204,1396
6,274,1763
7,362,2100
8,458,2468
9,562,2840
10,668,3196
11,814,3576
12,970,3946
13,1112,4289
14,1278,4838
15,1458,5203
16,1644,5608
17,1864,5959
18,2060,6351
19,2298,6734
20,2530,7095
21,2788,7494
22,3048,8029
23,3320,8417
24,3616,8828
25,3902,9237
26,4212,9573
27,4524,10128
28,4880,10526
29,5224,10917
30,5576,11282
31,5932,11681
32,6336,12080
33,6718,12459
34,7132,12899
35,7542,13280
36,7988,13600
37,8412,14122
38,8836,14530
39,9312,14861
40,9820,15285
41,10290,15847
42,10822,16024
43,11306,16690
44,11844,17076
45,12404,17260
46,12926,17673
47,13482,18062
48,14064,18491
49,14640,18922
50,15230,19322
51,15840,19636
52,16458,20140
53,17128,20602
54,17738,21175
55,18410,21635
56,19054,22016
57,19708,22557
58,20466,22872
59,21174,23360
60,21912,23567
61,22520,24005
62,23328,24463
63,24044,24798
64,24840,25289
65,25638,25677
66,26396,26077
67,27228,26467
68,28026,26972
69,28864,27180
70,29696,27655
71,30562,27982
72,31432,28434
73,32282,28987
74,33126,29358
75,34022,29854
76,34962,30092
77,35864,30494
78,36788,31090
79,37778,31468
80,38766,31949
81,39648,32494
82,40648,32920
83,41648,33285
84,42642,33635
85,43682,34150
86,44732,34592
87,45644,35052
88,46738,35376
89,47928,35897
90,48980,36141
91,49992,36706
92,51078,36921
93,52202,37305
94,53380,37748
95,54546,38123
96,55556,38611
97,56766,38999
98,58008,39420
99,59136,39878
100,60272,40260
