Array Length,Selection,Merge
0,20,35
1,34,35
2,56,365
3,94,697
4,144,1044
5,202,1408
6,278,1747
7,354,2076
8,448,2464
9,562,2832
10,680,3199
11,804,3579
12,960,3932
13,1128,4302
14,1282,4834
15,1454,5195
16,1658,5584
17,1850,5977
18,2058,6360
19,2308,6739
20,2528,7080
21,2774,7358
22,3042,7890
23,3318,8270
24,3598,8671
25,3910,9077
26,4220,9412
27,4524,10000
28,4880,10384
29,5216,10747
30,5556,11318
31,5950,11704
32,6326,12068
33,6676,12479
34,7112,12810
35,7546,13212
36,7972,13689
37,8410,14145
38,8862,14472
39,9342,14857
40,9794,15279
41,10298,15680
42,10804,15923
43,11302,16458
44,11874,16907
45,12384,17135
46,12928,17486
47,13498,17865
48,14090,18364
49,14654,18709
50,15250,19062
51,15858,19517
52,16432,19897
53,17052,20464
54,17704,21009
55,18430,21397
56,19090,21855
57,19732,22454
58,20440,22681
59,21192,23227
60,21876,23655
61,22574,24032
62,23310,24425
63,24070,24870
64,24882,25245
65,25594,25638
66,26420,26094
67,27234,26494
68,27984,26976
69,28848,27217
70,29676,27594
71,30530,28009
72,31422,28422
73,32310,29037
74,33140,29210
75,34018,29848
76,34964,30108
77,35866,30537
78,36794,31124
79,37738,31566
80,38728,31982
81,39642,32239
82,40682,32762
83,41654,33140
84,42706,33512
85,43678,33965
86,44738,34425
87,45774,34819
88,46796,35216
89,47900,35639
90,48984,35898
91,50006,36505
92,51148,36713
93,52230,37197
94,53278,37587
95,54452,37994
96,55712,38485
97,56792,38828
98,57974,39192
99,59158,39639
100,60312,40035
