Array Length,Selection,Merge
0,20,35
1,34,35
2,60,361
3,90,697
4,146,1048
5,202,1384
6,276,1743
7,360,2097
8,454,2457
9,564,2820
10,690,3211
11,814,3578
12,964,3948
13,1116,4306
14,1290,4839
15,1464,5236
16,1638,5592
17,1838,5929
18,2064,6323
19,2288,6747
20,2528,7088
21,2778,7514
22,3054,8053
23,3314,8477
24,3610,8818
25,3896,9219
26,4200,9571
27,4534,10135
28,4880,10548
29,5200,10909
30,5546,11286
31,5948,11650
32,6320,12046
33,6726,12461
34,7126,12886
35,7532,13322
36,7936,13673
37,8410,13993
38,8882,14516
39,9340,14863
40,9792,15268
41,10318,15847
42,10794,16095
43,11288,16674
44,11842,17010
45,12350,17302
46,12898,17718
47,13514,18093
48,14054,18494
49,14648,18904
50,15236,19230
51,15870,19756
52,16482,20159
53,17100,20637
54,17784,21160
55,18416,21604
56,19042,22062
57,19770,22576
58,20438,22753
59,21104,23421
60,21888,23603
61,22606,24040
62,23308,24443
63,24006,24896
64,24888,25298
65,25620,25636
66,26394,26108
67,27186,26554
68,28032,26917
69,28834,27236
70,29668,27569
71,30520,28028
72,31392,28498
73,32294,29005
74,33182,29241
75,33992,29883
76,35004,30128
77,35870,30479
78,36848,31110
79,37740,31587
80,38662,31865
81,39712,32504
82,40668,32958
83,41584,33299
84,42624,33565
85,43662,34190
86,44692,34632
87,45720,34949
88,46792,35355
89,47852,35794
90,48876,36041
91,50012,36700
92,51098,36951
93,52206,37345
94,53358,37743
95,54442,38168
96,55652,38578
97,56872,38986
98,57980,39361
99,59174,39864
100,60426,40244
