Array Length,Selection,Merge
0,20,35
1,34,35
2,56,365
3,94,697
4,144,1048
5,202,1392
6,270,1747
7,360,2116
8,454,2455
9,562,2817
10,680,3201
11,816,3583
12,958,3964
13,1100,4317
14,1284,4823
15,1462,5199
16,1652,5573
17,1860,5968
18,2070,6347
19,2292,6746
20,2552,7136
21,2790,7479
22,3044,8024
23,3304,8429
24,3602,8826
25,3898,9258
26,4200,9605
27,4538,10087
28,4840,10540
29,5222,10921
30,5564,11264
31,5944,11661
32,6316,12038
33,6722,12508
34,7106,12888
35,7548,13284
36,7954,13671
37,8424,14079
38,8844,14465
39,9314,14916
40,9822,15236
41,10276,15844
42,10802,16098
43,11280,16641
44,11832,17107
45,12380,17292
46,12896,17667
47,13516,18063
48,14064,18485
49,14662,18929
50,15262,19289
51,15852,19693
52,16468,20088
53,17118,20538
54,17744,21265
55,18370,21660
56,19068,22055
57,19772,22569
58,20422,22848
59,21186,23363
60,21894,23628
61,22600,24020
62,23342,24412
63,24038,24873
64,24888,25235
65,25626,25636
66,26450,25962
67,27202,26520
68,28056,26970
69,28848,27252
70,29656,27665
71,30540,28053
72,31438,28462
73,32260,29068
74,33152,29290
75,34050,29788
76,34930,30133
77,35820,30485
78,36800,31116
79,37806,31543
80,38712,31865
81,39720,32509
82,40640,32954
83,41580,33304
84,42670,33634
85,43652,34234
86,44666,34518
87,45726,35044
88,46748,35462
89,47824,35848
90,48890,36140
91,50028,36663
92,51182,36919
93,52286,37269
94,53456,37756
95,54440,38097
96,55664,38613
97,56766,39064
98,57958,39446
99,59194,39805
100,60380,40203
