Array Length,Selection,Merge
0,20,35
1,34,35
2,60,361
3,94,709
4,142,1048
5,202,1392
6,274,1743
7,354,2100
8,456,2460
9,566,2828
10,674,3199
11,812,3586
12,958,3932
13,1116,4337
14,1286,4848
15,1454,5227
16,1650,5599
17,1850,5965
18,2072,6341
19,2304,6722
20,2526,7103
21,2792,7522
22,3032,8022
23,3312,8403
24,3594,8838
25,3918,9206
26,4212,9599
27,4536,10165
28,4864,10555
29,5226,10906
30,5568,11297
31,5944,11724
32,6302,12087
33,6732,12496
34,7134,12895
35,7558,13276
36,7956,13696
37,8396,14093
38,8866,14511
39,9322,14887
40,9798,15260
41,10286,15841
42,10816,16034
43,11306,16544
44,11836,17061
45,12390,17279
46,12936,17746
47,13468,18074
48,14038,18526
49,14606,18876
50,15204,19349
51,15856,19662
52,16478,20116
53,17124,20670
54,17732,21261
55,18380,21563
56,19096,22008
57,19790,22578
58,20430,22833
59,21172,23424
60,21820,23626
61,22600,24098
62,23352,24415
63,24066,24820
64,24840,25189
65,25610,25672
66,26414,25998
67,27184,26556
68,28028,26948
69,28882,27148
70,29712,27670
71,30504,28068
72,31412,28482
73,32260,29023
74,33176,29271
75,34022,29846
76,34976,30155
77,35904,30483
78,36860,31082
79,37770,31557
80,38664,31883
81,39640,32505
82,40660,32913
83,41638,33400
84,42698,33555
85,43700,34088
86,44722,34546
87,45686,35040
88,46800,35441
89,47820,35770
90,49002,36059
91,50054,36647
92,51094,36937
93,52292,37276
94,53394,37715
95,54512,38252
96,55700,38514
97,56786,38911
98,57994,39438
99,59186,39812
100,60364,40251
