Array Length,Selection,Merge
0,20,35
1,34,35
2,60,361
3,92,693
4,146,1044
5,196,1408
6,282,1759
7,354,2112
8,462,2464
9,564,2840
10,676,3203
11,806,3562
12,956,3952
13,1112,4291
14,1282,4828
15,1456,5223
16,1656,5611
17,1850,5967
18,2064,6323
19,2288,6741
20,2540,7062
21,2760,7337
22,3050,7844
23,3344,8255
24,3618,8652
25,3900,9002
26,4208,9380
27,4550,9930
28,4884,10354
29,5242,10746
30,5546,11297
31,5964,11679
32,6342,12086
33,6730,12497
34,7108,12870
35,7546,13283
36,7964,13651
37,8412,14051
38,8892,14434
39,9340,14880
40,9814,15281
41,10310,15698
42,10782,15947
43,11302,16382
44,11822,16883
45,12372,17161
46,12932,17428
47,13490,17843
48,14074,18286
49,14680,18730
50,15228,19129
51,15876,19526
52,16496,19850
53,17086,20466
54,17718,21069
55,18380,21375
56,19098,21882
57,19780,22415
58,20456,22674
59,21136,23253
60,21866,23579
61,22642,24015
62,23306,24499
63,24102,24820
64,24864,25192
65,25632,25660
66,26402,26094
67,27232,26572
68,28060,26968
69,28858,27240
70,29708,27666
71,30548,28042
72,31430,28428
73,32282,28977
74,33108,29267
75,34034,29834
76,34946,30163
77,35866,30416
78,36750,31110
79,37798,31523
80,38718,31936
81,39738,32403
82,40698,32772
83,41682,33197
84,42622,33497
85,43650,33954
86,44706,34471
87,45760,34809
88,46780,35309
89,47884,35652
90,48924,35906
91,50034,36543
92,51118,36815
93,52182,37240
94,53328,37581
95,54468,38000
96,55630,38287
97,56854,38847
98,57998,39226
99,59186,39742
100,60316,40075
