Array Length,Selection,Merge
0,20,35
1,34,35
2,56,365
3,94,705
4,144,1044
5,206,1392
6,270,1747
7,360,2116
8,454,2452
9,570,2828
10,684,3201
11,806,3571
12,958,3956
13,1100,4326
14,1286,4867
15,1472,5227
16,1654,5546
17,1858,5971
18,2072,6329
19,2314,6717
20,2540,7138
21,2796,7322
22,3058,7902
23,3320,8287
24,3600,8648
25,3926,9015
26,4224,9394
27,4556,9989
28,4878,10386
29,5248,10733
30,5582,11359
31,5932,11698
32,6312,12092
33,6726,12498
34,7138,12905
35,7554,13339
36,7968,13723
37,8404,14108
38,8864,14482
39,9338,14887
40,9786,15224
41,10324,15688
42,10838,15853
43,11316,16474
44,11864,16820
45,12380,17127
46,12916,17434
47,13478,17944
48,14038,18351
49,14630,18769
50,15198,19126
51,15874,19547
52,16492,19936
53,17102,20488
54,17746,21069
55,18408,21415
56,19038,21818
57,19756,22313
58,20430,22614
59,21120,23151
60,21842,23616
61,22566,24021
62,23326,24390
63,24088,24814
64,24842,25197
65,25648,25619
66,26424,26091
67,27188,26484
68,28030,26982
69,28844,27138
70,29700,27629
71,30538,28042
72,31424,28411
73,32280,29085
74,33158,29343
75,34082,29912
76,34950,30144
77,35824,30519
78,36814,31068
79,37782,31513
80,38686,31866
81,39654,32365
82,40638,32795
83,41598,33168
84,42610,33491
85,43646,33971
86,44738,34446
87,45692,34872
88,46834,35173
89,47796,35607
90,48976,35941
91,50030,36468
92,51078,36766
93,52212,37153
94,53374,37615
95,54504,37938
96,55658,38488
97,56814,38775
98,58038,39209
99,59186,39560
100,60304,40020
