Array Length,Selection,Merge
0,20,35
1,34,35
2,60,361
3,98,705
4,142,1041
5,206,1384
6,276,1755
7,368,2124
8,456,2457
9,572,2812
10,664,3188
11,814,3580
12,948,3964
13,1104,4315
14,1286,4825
15,1452,5205
16,1646,5584
17,1852,5988
18,2078,6343
19,2272,6741
20,2530,7157
21,2772,7345
22,3038,7888
23,3318,8278
24,3594,8644
25,3894,9053
26,4206,9382
27,4552,9999
28,4870,10367
29,5232,10736
30,5548,11329
31,5938,11694
32,6336,12090
33,6728,12465
34,7112,12885
35,7538,13263
36,7982,13674
37,8400,14030
38,8860,14420
39,9316,14896
40,9768,15317
41,10294,15638
42,10816,15831
43,11310,16517
44,11846,16843
45,12326,17147
46,12910,17459
47,13514,17836
48,14090,18289
49,14662,18722
50,15246,19069
51,15846,19520
52,16478,19927
53,17112,20454
54,17800,21044
55,18422,21403
56,19084,21864
57,19798,22427
58,20448,22743
59,21148,23273
60,21892,23662
61,22584,24074
62,23338,24471
63,24144,24816
64,24840,25220
65,25644,25689
66,26454,26109
67,27202,26559
68,28008,26926
69,28894,27199
70,29628,27650
71,30532,28053
72,31382,28416
73,32272,29070
74,33152,29333
75,34018,29930
76,34954,30026
77,35916,30611
78,36828,31009
79,37776,31508
80,38706,31983
81,39630,32318
82,40624,32661
83,41632,33166
84,42660,33517
85,43678,34035
86,44728,34437
87,45764,34942
88,46822,35276
89,47872,35708
90,48910,35850
91,49994,36510
92,51088,36804
93,52310,37138
94,53360,37640
95,54534,38020
96,55654,38421
97,56790,38703
98,57978,39149
99,59146,39685
100,60368,40145
