Array Length,Selection,Merge
0,20,35
1,34,35
2,60,365
3,90,705
4,140,1044
5,200,1408
6,276,1763
7,358,2104
8,458,2462
9,568,2836
10,682,3203
11,816,3570
12,952,3928
13,1118,4337
14,1274,4842
15,1468,5228
16,1648,5567
17,1836,5958
18,2074,6353
19,2288,6721
20,2520,7104
21,2786,7314
22,3048,7872
23,3320,8260
24,3606,8623
25,3862,9077
26,4204,9419
27,4528,9971
28,4874,10370
29,5216,10780
30,5580,11302
31,5944,11657
32,6334,12086
33,6714,12489
34,7118,12843
35,7534,13294
36,7998,13671
37,8392,14132
38,8862,14473
39,9336,14890
40,9806,15241
41,10284,15662
42,10832,15860
43,11306,16508
44,11840,16927
45,12382,17167
46,12918,17510
47,13502,17906
48,14056,18340
49,14648,18724
50,15242,19109
51,15836,19507
52,16456,19992
53,17114,20447
54,17752,21036
55,18382,21424
56,19072,21878
57,19754,22391
58,20416,22609
59,21136,23193
60,21890,23650
61,22624,24044
62,23344,24415
63,24082,24869
64,24854,25271
65,25622,25590
66,26386,26033
67,27196,26490
68,28024,26931
69,28828,27187
70,29640,27691
71,30548,27996
72,31408,28472
73,32302,29031
74,33130,29223
75,34062,29719
76,34912,30151
77,35922,30545
78,36818,31049
79,37752,31385
80,38740,31861
81,39694,32311
82,40668,32817
83,41602,33230
84,42612,33447
85,43676,34000
86,44654,34372
87,45740,34737
88,46762,35163
89,47742,35618
90,48934,35927
91,49976,36508
92,51154,36827
93,52232,37154
94,53338,37594
95,54504,37927
96,55622,38420
97,56850,38844
98,57994,39252
99,59136,39578
100,60336,40085
