Array Length,Selection,Merge
0,20,35
1,34,35
2,60,365
3,94,693
4,144,1041
5,202,1397
6,276,1744
7,358,2104
8,456,2457
9,562,2832
10,692,3211
11,814,3570
12,954,3952
13,1116,4314
14,1278,4835
15,1442,5200
16,1642,5580
17,1866,5983
18,2068,6379
19,2306,6689
20,2530,7121
21,2780,7290
22,3032,7878
23,3316,8282
24,3614,8617
25,3898,9020
26,4202,9415
27,4556,10011
28,4874,10336
29,5220,10691
30,5560,11302
31,5938,11682
32,6320,12036
33,6706,12483
34,7132,12860
35,7522,13293
36,7970,13625
37,8388,14082
38,8874,14428
39,9312,14816
40,9798,15254
41,10308,15649
42,10790,15986
43,11342,16508
44,11856,16907
45,12380,17188
46,12932,17573
47,13486,17951
48,14080,18418
49,14628,18701
50,15218,19119
51,15848,19462
52,16498,19925
53,17110,20458
54,17714,21038
55,18426,21482
56,19068,21842
57,19760,22373
58,20454,22687
59,21172,23202
60,21842,23706
61,22600,23973
62,23268,24417
63,24090,24841
64,24812,25161
65,25598,25657
66,26474,26157
67,27220,26498
68,28042,26877
69,28850,27124
70,29678,27612
71,30526,28049
72,31338,28461
73,32326,29031
74,33106,29253
75,34058,29811
76,34986,30144
77,35906,30486
78,36794,31150
79,37808,31460
80,38708,31912
81,39594,32282
82,40622,32680
83,41622,33149
84,42684,33460
85,43732,34074
86,44662,34379
87,45798,34804
88,46798,35207
89,47828,35602
90,48924,35858
91,49992,36454
92,51104,36791
93,52270,37115
94,53382,37567
95,54522,38000
96,55684,38422
97,56782,38873
98,57922,39277
99,59134,39649
100,60352,40018
