Array Length,Selection,Merge
0,20,35
1,34,35
2,60,361
3,98,693
4,146,1036
5,194,1408
6,274,1760
7,362,2108
8,452,2476
9,568,2795
10,674,3207
11,814,3555
12,964,3913
13,1118,4307
14,1276,4814
15,1458,5205
16,1662,5603
17,1852,5972
18,2078,6370
19,2294,6745
20,2534,7115
21,2790,7331
22,3042,7897
23,3314,8232
24,3608,8619
25,3876,9043
26,4206,9423
27,4546,9967
28,4864,10383
29,5204,10756
30,5588,11279
31,5950,11665
32,6332,12075
33,6710,12525
34,7106,12914
35,7536,13280
36,7976,13650
37,8406,14151
38,8882,14501
39,9322,14886
40,9790,15247
41,10296,15658
42,10810,15932
43,11320,16466
44,11844,16887
45,12372,17108
46,12906,17499
47,13506,17930
48,14082,18308
49,14638,18745
50,15262,19120
51,15844,19528
52,16486,19975
53,17114,20494
54,17724,21124
55,18416,21456
56,19090,21832
57,19750,22416
58,20462,22687
59,21168,23219
60,21856,23642
61,22616,23961
62,23360,24415
63,24052,24827
64,24864,25166
65,25674,25706
66,26414,26097
67,27162,26552
68,28010,26923
69,28838,27233
70,29696,27578
71,30528,28005
72,31370,28512
73,32240,29061
74,33104,29300
75,34110,29818
76,34908,30110
77,35826,30427
78,36834,31006
79,37764,31456
80,38748,31964
81,39616,32354
82,40696,32824
83,41644,33109
84,42666,33398
85,43582,33994
86,44698,34430
87,45726,34877
88,46754,35144
89,47858,35741
90,48962,35936
91,50012,36541
92,51104,36779
93,52128,37224
94,53316,37547
95,54514,38122
96,55628,38376
97,56792,38833
98,57928,39213
99,59132,39645
100,60354,40050
