Array Length,Selection,Merge
0,20,35
1,34,35
2,56,523
3,98,851
4,140,1194
5,200,1486
6,274,1849
7,364,2199
8,452,2538
9,564,2916
10,688,3261
11,816,3664
12,958,4035
13,1110,4391
14,1286,4905
15,1454,5284
16,1648,5667
17,1848,6066
18,2060,6400
19,2300,6793
20,2536,7198
21,2788,7549
22,3018,8143
23,3322,8528
24,3614,8834
25,3902,9304
26,4216,9664
27,4534,10197
28,4866,10605
29,5188,10997
30,5564,11356
31,5910,11814
32,6336,12173
33,6712,12554
34,7126,12957
35,7500,13390
36,7966,13756
37,8412,14198
38,8874,14610
39,9326,14944
40,9824,15319
41,10308,15934
42,10768,16106
43,11286,16753
44,11830,17137
45,12380,17361
46,12908,17786
47,13490,18155
48,14064,18562
49,14656,19005
50,15268,19360
51,15860,19761
52,16484,20153
53,17128,20659
54,17750,21189
55,18388,21771
56,19054,22117
57,19730,22612
58,20440,22905
59,21172,23531
60,21830,23637
61,22624,24096
62,23334,24580
63,24050,24934
64,24868,25288
65,25616,25649
66,26424,26218
67,27248,26584
68,28042,27008
69,28850,27314
70,29702,27675
71,30530,28089
72,31400,28479
73,32286,29110
74,33168,29333
75,34058,29955
76,34998,30150
77,35888,30522
78,36810,31228
79,37782,31540
80,38724,32073
81,39688,32565
82,40680,32919
83,41664,33403
84,42712,33670
85,43680,34186
86,44660,34608
87,45752,35094
88,46824,35436
89,47862,35869
90,48888,36171
91,50022,36734
92,51046,36962
93,52214,37395
94,53360,37843
95,54500,38351
96,55636,38686
97,56798,39034
98,58022,39541
99,59178,39894
100,60440,40353
