Array Length,Selection,Merge
0,20,35
1,34,35
2,56,523
3,94,859
4,148,1190
5,204,1482
6,282,1833
7,366,2190
8,450,2540
9,560,2906
10,684,3265
11,806,3661
12,962,4043
13,1112,4396
14,1270,4907
15,1458,5281
16,1648,5684
17,1848,6057
18,2064,6420
19,2302,6787
20,2550,7140
21,2794,7564
22,3052,8123
23,3320,8551
24,3598,8902
25,3910,9316
26,4210,9695
27,4538,10199
28,4872,10644
29,5236,10989
30,5568,11394
31,5940,11739
32,6342,12145
33,6706,12541
34,7144,12937
35,7550,13368
36,7978,13765
37,8396,14185
38,8878,14527
39,9340,14969
40,9788,15371
41,10296,15925
42,10760,16181
43,11282,16733
44,11782,17135
45,12332,17332
46,12932,17749
47,13480,18139
48,14076,18620
49,14642,18930
50,15220,19363
51,15846,19735
52,16478,20206
53,17112,20742
54,17754,21301
55,18436,21658
56,19054,22125
57,19716,22646
58,20450,22874
59,21130,23458
60,21830,23718
61,22592,24139
62,23344,24539
63,24062,24932
64,24848,25289
65,25606,25802
66,26426,26203
67,27250,26575
68,28044,27058
69,28872,27287
70,29722,27734
71,30510,28141
72,31398,28514
73,32306,29098
74,33144,29370
75,34006,29895
76,34956,30271
77,35868,30586
78,36774,31166
79,37724,31572
80,38690,31932
81,39692,32593
82,40626,32948
83,41602,33480
84,42660,33650
85,43684,34243
86,44622,34587
87,45738,35124
88,46854,35443
89,47866,35909
90,48894,36051
91,49992,36689
92,51064,37027
93,52206,37384
94,53430,37776
95,54442,38258
96,55674,38614
97,56746,39052
98,57856,39462
99,59208,39908
100,60344,40394
