Array Length,Selection,Merge
0,20,35
1,34,35
2,56,523
3,98,867
4,146,1206
5,208,1470
6,272,1833
7,364,2186
8,460,2550
9,568,2906
10,676,3277
11,816,3660
12,954,4026
13,1118,4391
14,1286,4933
15,1456,5294
16,1654,5677
17,1852,6040
18,2068,6429
19,2282,6848
20,2520,7209
21,2774,7609
22,3062,8165
23,3314,8521
24,3602,8910
25,3902,9295
26,4230,9647
27,4552,10175
28,4872,10617
29,5208,11017
30,5592,11399
31,5936,11709
32,6328,12181
33,6720,12533
34,7140,12964
35,7530,13340
36,7966,13797
37,8426,14111
38,8862,14581
39,9310,14920
40,9822,15298
41,10272,15896
42,10780,16144
43,11274,16726
44,11852,17149
45,12378,17344
46,12922,17719
47,13464,18186
48,13992,18588
49,14646,18932
50,15258,19358
51,15876,19755
52,16454,20163
53,17098,20764
54,17738,21263
55,18420,21733
56,19068,22118
57,19692,22649
58,20458,22911
59,21136,23497
60,21878,23734
61,22578,24095
62,23302,24496
63,24110,24860
64,24874,25237
65,25634,25809
66,26376,26165
67,27220,26620
68,28076,27078
69,28900,27247
70,29660,27780
71,30558,28092
72,31468,28542
73,32214,29164
74,33166,29331
75,34014,29973
76,35002,30169
77,35894,30527
78,36820,31211
79,37746,31612
80,38750,32034
81,39674,32483
82,40670,33011
83,41664,33394
84,42670,33687
85,43762,34220
86,44712,34615
87,45684,35073
88,46842,35393
89,47828,35962
90,49002,36200
91,49994,36622
92,51112,37082
93,52208,37426
94,53334,37856
95,54496,38228
96,55614,38653
97,56870,39103
98,57984,39378
99,59108,39948
100,60388,40364
